Increased_Work_Hours,Work_From_Home,Hours_Worked_Per_Day,Meetings_Per_Day,Productivity_Change,Stress_Level,Health_Issue,Job_Security,Childcare_Responsibilities,Commuting_Changes,Technology_Adaptation,Salary_Changes,Team_Collaboration_Challenges,Sector,Affected_by_Covid
1,1,5.047539039381203,4.010825719131847,1,Medium,1,0,1,0,0,0,1,Retail,1
0,1,8.889749833354246,5.140114168582621,1,High,0,1,0,1,0,0,1,IT,1
1,0,9.284242007753168,5.1872916050916595,1,Medium,0,1,0,1,0,0,1,Education,1
0,1,6.480696478333244,4.817764263446398,1,Medium,0,0,1,0,1,0,1,Retail,1
0,1,5.952531109444363,3.072353249208197,0,High,0,1,1,0,1,0,1,IT,1
1,1,10.034348428340312,3.0248064348592725,1,Medium,0,0,1,0,1,0,0,Education,1
0,1,6.01827849196657,5.1931067098614,1,High,0,1,0,1,0,0,0,Retail,1
1,1,6.786672118498866,5.217998398325097,0,High,0,0,0,0,1,0,1,IT,1
1,1,9.774617924919493,3.7420075218521607,1,High,0,0,1,0,1,1,0,Retail,1
0,1,8.069482467078048,3.3607421386514718,0,High,0,0,0,0,1,0,1,Healthcare,1
1,1,4.405712664741791,5.75087064016855,0,Medium,0,0,1,1,1,0,1,IT,1
1,0,11.494118289107028,3.46007700278013,1,High,0,1,0,0,1,0,0,Education,1
1,1,6.939978482440068,5.118898336785672,1,High,0,0,0,1,1,0,1,Education,1
1,0,7.194485420187165,3.7947352377128523,0,High,1,1,0,1,1,0,1,Education,1
0,1,8.51156850465273,2.4287008284444997,1,High,1,1,0,1,1,0,1,IT,1
1,1,9.250153594008145,6.418468210035554,0,High,0,0,0,1,0,0,0,Education,1
0,1,11.922208582582934,4.180095843597214,1,Low,0,0,1,1,0,1,1,Healthcare,1
1,1,4.679863701188607,2.9338840301678752,1,Low,0,0,0,0,1,0,1,Healthcare,1
1,1,9.651904417851892,1.913791498337194,1,Low,1,1,1,0,1,1,1,Retail,1
1,0,9.486019388100154,2.06499880264475,1,Low,0,0,0,0,0,0,0,IT,1
1,1,7.725670178251766,3.440632893858098,1,Low,0,0,0,1,0,0,0,Education,1
0,1,9.574547389632444,6.887693325300389,1,Low,1,0,1,1,0,1,0,IT,1
1,1,9.868548035273093,3.123007181988636,0,High,0,1,0,1,0,0,1,Healthcare,1
1,1,5.236074430025991,6.171182248519306,0,Medium,0,0,1,1,0,0,1,Healthcare,1
1,1,11.49953301176166,3.803854497095374,0,Medium,1,1,1,1,1,0,1,Education,1
1,1,4.8824754937237165,2.2282744133474766,1,High,1,0,0,0,0,1,0,Healthcare,1
1,1,5.729367437522454,3.290183217324406,1,Low,0,1,0,0,0,0,1,Retail,1
1,1,7.476424652751808,2.0785181143938356,1,Medium,1,1,0,0,0,0,1,Healthcare,1
0,1,11.849881026374113,2.7160473220542185,1,Low,0,0,1,1,1,0,1,Healthcare,1
0,1,7.383486740493227,2.6713779071861237,1,Low,0,0,1,0,0,1,0,Retail,1
0,1,7.936132219898378,1.1442941987781006,1,High,0,1,1,1,1,0,1,Education,1
0,1,10.864157207809127,6.269194103222089,0,High,0,1,1,1,0,0,0,Education,1
1,1,7.399363714869055,4.316525545333422,0,High,0,1,1,0,0,0,1,IT,1
0,0,5.643126574138648,2.9705823915728473,0,High,0,1,0,0,1,1,0,IT,1
1,1,7.165530329523371,4.332636619650084,1,Low,1,1,0,1,1,0,0,Healthcare,1
1,1,10.741583667611554,2.7467794095369076,0,High,0,0,1,1,1,0,1,Retail,1
0,0,8.141729994110273,-0.006592948054633396,1,High,0,1,1,1,0,0,1,Education,1
1,1,11.86131651811252,8.435037449839825,0,High,0,0,0,0,0,0,0,Retail,1
0,1,9.47586985252431,4.28439981501559,0,Medium,0,0,1,0,0,0,0,Education,1
1,1,6.710382127213033,3.1164804410278526,1,Medium,0,0,0,1,1,0,0,Healthcare,1
0,1,8.102152608930156,1.0991277824838503,0,Medium,0,1,0,1,1,0,1,IT,1
1,1,6.293563763716241,1.75877530728616,1,Medium,0,1,0,1,0,0,1,Retail,1
1,1,6.66313393870246,6.481737894332358,1,Medium,0,0,1,0,0,0,0,Retail,1
0,1,16.958168502051514,6.252907823197701,1,Low,1,1,0,0,1,0,0,Education,1
0,1,10.037249020067621,5.129822553998421,1,Medium,1,1,1,0,1,0,1,Healthcare,1
1,1,9.722195978013346,2.327384442385279,1,Medium,0,0,0,1,0,0,0,IT,1
1,1,6.7536393693838725,6.264960981965515,0,Low,0,0,1,1,1,1,1,Retail,1
1,1,11.139168132562158,4.674673926916529,1,Medium,0,0,0,0,0,1,1,Retail,1
1,1,10.198831203585874,4.982386672527301,0,High,0,0,0,0,1,0,1,Healthcare,1
0,1,11.763242578715541,4.66925641666487,0,High,0,1,0,1,1,0,1,Retail,1
1,0,11.666228296796898,1.739519223060844,0,Medium,1,0,1,1,0,0,1,Retail,1
0,1,5.041821423804956,2.2027585738796684,1,High,0,0,0,1,1,1,1,Healthcare,1
0,1,5.7803210214601854,3.2346727503874573,1,Low,1,0,1,1,0,0,1,Education,1
1,1,5.992424369072728,4.96545956129967,1,Low,0,0,1,0,0,0,1,Retail,1
1,1,6.112118713335126,1.9293518766352808,0,Low,0,0,0,0,1,1,1,Retail,1
0,1,8.64690472852078,3.736980377583714,0,Medium,1,0,0,1,1,0,1,Retail,1
1,0,6.866393095808364,3.735085734755424,1,Medium,0,1,0,1,1,0,1,IT,1
1,1,12.145197081525037,5.189109533991367,1,Low,1,0,0,0,1,0,0,IT,1
1,1,11.809359764163275,5.012007303411494,0,Low,0,0,1,1,1,0,0,IT,1
1,1,7.987076811841921,2.4846611064218007,0,High,1,1,0,0,1,1,1,Healthcare,1
1,1,11.91065243229958,6.170029254230952,1,Medium,0,1,0,1,1,1,1,Education,1
0,1,10.976269254480403,2.255140256874565,0,High,0,1,0,0,1,1,1,Education,1
0,1,7.098586881645482,5.638359162851125,1,Medium,0,1,0,0,1,0,0,Education,1
1,0,3.981569311948877,3.1747826524774028,1,Medium,0,1,0,0,1,0,0,Education,1
1,1,7.564063230078541,4.245888930150058,0,High,0,1,0,0,1,0,1,Education,1
1,1,6.710755737843054,4.338981190156457,0,High,1,1,0,0,1,0,1,Healthcare,1
1,1,8.41301125029166,4.2965611610631935,1,Medium,0,1,0,0,1,0,1,Healthcare,1
1,1,8.178456573749498,5.0117487976518555,0,Low,0,1,1,0,1,0,1,Retail,1
1,1,8.126035317798458,4.587189246900299,0,Medium,0,0,1,1,1,1,1,Retail,1
1,1,9.047369482758329,5.175473694805808,1,Medium,1,0,1,1,1,1,0,Retail,1
0,1,5.5749561058326425,4.696929940517704,1,Medium,1,1,1,0,1,0,1,Education,1
0,0,8.822720555139416,2.1033171116112346,1,Medium,0,0,1,1,1,1,1,Healthcare,1
0,1,7.120767693965988,4.404698611836982,1,Low,0,1,0,0,1,0,1,Healthcare,1
0,1,8.399964399727374,3.1541951462420004,1,Medium,1,0,0,1,1,1,1,IT,1
1,1,9.91481969046438,2.336106283139075,0,Medium,0,0,0,0,1,0,1,Education,1
1,1,5.551200453557941,3.5652401609840503,1,High,0,1,1,0,1,0,1,Healthcare,1
1,1,7.437412694660861,4.2748533985526365,1,High,0,0,1,1,0,1,1,IT,1
0,1,7.762931531942272,4.374512541981677,0,Medium,0,1,0,0,1,0,0,Healthcare,1
1,1,6.9714620568587184,5.584037117710402,0,Medium,0,0,0,0,1,1,1,Healthcare,1
1,1,9.799658992265915,5.960963678457366,1,Low,0,1,0,0,1,0,1,IT,1
0,1,6.559223282399056,4.504421246136034,0,Medium,0,1,0,0,0,0,1,Retail,1
0,0,6.889199201115322,4.775659565514114,1,Low,0,0,0,1,1,0,1,Healthcare,1
0,1,6.580161734095871,4.142963549763483,1,High,0,0,0,1,0,1,1,Education,1
0,0,10.184110822877603,5.1508381954743765,1,Medium,0,0,1,0,0,0,0,Education,1
1,1,7.0151117751755665,4.730482208255596,1,Medium,0,1,1,0,1,1,1,Education,1
1,1,8.920090781767112,3.918267859213294,1,Medium,0,0,0,1,0,0,1,Retail,1
1,0,11.95141020246015,7.227973850506451,1,Low,0,0,0,0,1,0,1,IT,1
1,0,7.850363159298829,3.180724954837272,1,Medium,0,1,1,1,1,0,1,IT,1
0,0,10.224121360066315,6.181685435062506,1,High,0,1,1,0,0,0,0,IT,1
0,1,11.342708168186256,1.968560610509594,1,Medium,0,1,1,1,1,1,1,Healthcare,1
1,0,10.054383120080828,5.220424804677183,0,Medium,1,1,0,1,1,0,0,Retail,1
1,1,7.966397368044519,6.154852527590256,1,Medium,0,0,0,0,1,0,1,Healthcare,1
1,0,9.284215517997227,1.1391713934881205,0,Medium,1,0,1,0,1,0,0,Healthcare,1
1,1,5.425242813729309,4.208425859582641,1,Medium,0,1,1,0,0,0,1,Retail,1
1,1,6.439913683700096,5.073121061866066,0,Low,0,0,0,0,1,0,1,Healthcare,1
0,1,6.790649636736162,4.377945406192099,1,Medium,0,0,1,1,1,0,0,Healthcare,1
0,0,12.481224240348563,4.567233903410445,1,High,1,0,0,1,1,0,0,Education,1
1,1,6.374830971489466,4.204334743564996,1,High,0,0,0,1,1,0,0,Education,1
1,1,6.345046497476341,2.358628260457612,1,Low,0,1,0,1,1,0,0,Education,1
1,1,5.9121580395020334,7.552068388233163,1,Low,0,0,0,1,0,0,1,IT,1
0,1,9.119623523861522,3.244693205026301,0,High,0,1,0,0,0,0,1,Education,1
1,1,8.285242785337765,4.6512418581683574,0,Medium,0,1,0,1,0,0,0,Healthcare,1
1,1,10.17351795405313,3.0297404843718594,0,High,0,1,1,1,1,0,1,Healthcare,1
0,1,9.342519332154708,0.5862052149689525,0,Medium,0,0,1,0,1,0,1,Healthcare,1
1,1,5.239220306551865,2.6132306893765467,1,Medium,1,0,0,0,1,0,1,IT,1
1,1,6.385444459979259,1.828589961587293,0,Medium,0,1,1,1,1,1,1,Healthcare,1
1,0,10.730657496551643,5.637351308836735,1,Low,0,1,0,1,0,0,1,Retail,1
1,0,7.5934035108463895,3.0896979759333174,1,Medium,1,0,1,0,0,0,0,Retail,1
1,0,10.375183636036025,3.2288629912300557,1,Low,0,0,0,1,0,0,0,IT,1
0,1,7.700638104169366,2.4035039310943955,0,Medium,0,0,1,0,0,0,1,Education,1
1,1,6.064687143422957,4.141053098072653,0,High,0,0,0,0,0,0,1,IT,1
1,1,7.393478444666588,2.925312225458079,0,Medium,0,1,0,1,1,0,1,Retail,1
1,0,6.063900408900608,5.488532096870182,1,Low,0,0,0,1,0,1,1,Healthcare,1
0,1,6.868894475195153,4.453058984633741,0,High,0,0,0,1,1,0,1,Education,1
1,1,8.401851413130492,3.142261321413328,1,Low,0,0,0,1,1,0,1,IT,1
1,1,9.02321018073804,5.275349577755529,1,Medium,1,1,0,0,0,0,1,IT,1
0,1,4.819617353491404,4.011910784534857,0,High,1,1,0,1,1,0,0,Healthcare,1
0,1,7.965263984981804,4.032245358534927,0,Medium,1,0,0,0,0,1,1,Healthcare,1
1,1,6.826768528880495,1.8060476444021116,1,High,1,0,0,1,1,0,1,Healthcare,1
1,1,6.703170382082375,3.893370800822029,0,Medium,1,1,0,0,1,0,1,Education,1
0,1,8.265369238266153,4.482316958976997,1,Medium,0,0,1,1,0,0,0,Retail,1
0,1,6.8990962546215755,6.000350233297517,1,High,0,1,0,0,0,0,1,Retail,1
1,1,10.764275989693349,2.872159555145016,0,Medium,0,1,0,1,1,0,1,Education,1
0,1,10.37612375250212,7.417162935078267,1,Medium,0,0,0,0,0,0,1,Education,1
0,1,10.36365658788408,4.835302475243479,0,Medium,0,0,0,0,1,0,0,IT,1
1,0,7.010179609019397,1.7208821859492889,0,Medium,0,0,0,0,1,0,1,Healthcare,1
1,1,6.075002330161356,2.7322028288716655,1,Medium,1,1,0,0,1,0,0,Retail,1
0,1,8.16405985877623,6.131498746325228,0,Low,0,1,0,0,0,0,1,Retail,1
1,1,7.6993032674274655,5.864843714443592,0,Medium,0,1,1,0,0,0,1,IT,1
1,1,6.782353675153271,4.027140222340754,1,Medium,0,0,0,0,1,0,1,Education,1
0,1,5.648531106666077,4.224876554586778,0,Low,0,0,0,0,0,1,1,Healthcare,1
1,1,7.916964061463857,2.2530845894110434,0,Low,0,1,1,1,1,0,1,Retail,1
0,1,7.191861099495053,5.982164110353013,1,Medium,1,0,1,1,0,1,0,Retail,1
1,1,9.37669407407604,2.5183493698382993,0,Medium,1,1,1,0,1,0,1,Retail,1
0,1,9.330212103042959,5.2671116666851265,1,Low,0,1,0,0,0,0,0,Retail,1
1,1,10.201599610845435,6.028063552997707,0,Medium,1,1,1,1,1,0,1,Retail,1
0,1,5.481408896239923,4.072233331329263,1,Medium,0,0,0,0,1,0,1,Healthcare,1
1,0,8.802116615387265,5.4514170491832985,0,High,0,1,1,0,1,0,0,Retail,1
1,1,6.545068587532656,6.771459562038542,1,Medium,0,1,0,0,1,0,1,Education,1
0,1,5.55917157837783,4.401953198816107,0,High,1,1,0,0,0,0,1,Education,1
0,1,7.14279552610258,3.7370472753520807,1,Medium,0,0,0,0,1,0,0,Healthcare,1
1,1,10.137409960269235,3.8997207136727248,1,Low,0,0,0,1,1,0,1,Healthcare,1
1,1,7.255363292859031,2.8855181459918673,0,Medium,0,1,1,0,1,0,1,IT,1
0,0,11.130909319918224,2.85162431089469,0,Medium,0,0,0,0,0,1,1,Retail,1
1,1,9.097757031040667,4.663610145738555,0,Medium,0,1,0,1,1,0,1,Education,1
0,1,7.211819042038846,3.754075266776073,1,Medium,1,0,0,1,1,0,1,Education,1
1,0,10.320096857812818,4.491353765276899,1,Medium,0,1,0,0,0,0,0,Education,1
0,0,8.890793544228572,1.765095775221143,1,Medium,1,0,0,1,0,1,0,Education,1
1,1,6.134881223106589,3.86107176221929,1,High,1,1,0,1,0,0,0,Education,1
1,1,11.71760527116103,5.545176775135695,0,Medium,0,0,1,0,1,1,1,IT,1
1,1,8.518957646172954,2.3216135845359727,0,Medium,0,1,0,1,0,0,1,IT,1
0,1,8.037592383970983,4.024789621201827,1,High,0,0,1,0,0,0,1,Retail,1
1,1,6.288934660188768,1.2180860336523835,0,High,0,0,0,1,1,0,0,Retail,1
0,1,10.359076535215475,2.041806966590239,0,Medium,0,1,0,1,0,0,1,Healthcare,1
1,1,9.034550854722614,5.211491331517074,1,High,0,0,0,1,1,1,1,Healthcare,1
1,1,9.258476360590482,3.5360735600305757,0,Medium,1,1,1,0,0,0,0,Healthcare,1
0,1,6.984937312948463,6.733109298307813,0,Medium,0,0,0,0,0,0,1,Education,1
1,1,9.668201143820136,4.648664665636469,1,High,0,0,0,1,1,0,1,Healthcare,1
1,1,9.823627187141604,4.795893497333987,0,Low,0,0,1,1,0,0,1,IT,1
1,1,6.662443522437755,2.385276925157651,0,Medium,1,0,1,0,1,1,0,Healthcare,1
1,0,5.166019720638018,3.4223419347333204,1,Medium,0,0,0,0,1,0,1,Education,1
0,0,9.162746118677848,2.901045726928581,1,High,0,0,0,0,0,1,1,IT,1
0,1,4.8533061007885205,2.4018373906741215,0,Low,0,0,0,1,1,0,0,IT,1
1,1,8.304031555675559,4.995839689144203,0,Medium,0,0,0,1,0,1,1,Retail,1
1,0,7.105509790425386,5.296773798653019,1,Medium,1,1,1,0,1,0,1,Retail,1
1,1,10.437330421577842,4.598405791251173,0,Low,0,1,1,0,0,0,0,Healthcare,1
0,1,7.214312218465586,2.7578992101610194,0,High,0,0,0,1,1,0,1,Healthcare,1
0,1,10.214545944007607,4.496095052646194,0,Medium,1,1,1,0,1,0,1,Healthcare,1
1,1,6.971581111273948,1.1309823978015157,0,Medium,0,0,0,1,1,1,0,Healthcare,1
1,1,9.999982010119222,5.98451390306206,1,Medium,1,0,0,0,1,0,0,IT,1
0,1,12.120683087673664,2.052774736543845,1,Medium,1,1,0,0,1,0,0,Healthcare,1
1,1,5.86390572326752,2.3193115263423048,0,High,1,0,0,0,1,0,1,Retail,1
1,1,8.584071443461816,4.172938404355289,1,High,1,0,0,1,1,0,0,Retail,1
0,0,13.49756483182013,4.306239340363068,1,Medium,0,0,1,0,1,0,1,Education,1
0,1,8.133177653805843,3.890877102322323,0,Medium,0,1,1,0,1,0,1,Retail,1
1,1,8.123576540459297,2.334808088526555,0,Medium,0,0,0,1,1,0,0,Retail,1
1,0,9.576997894702039,5.700021990404938,1,Medium,0,0,0,1,1,0,1,Healthcare,1
0,1,8.082161728189508,1.4710761983961245,0,High,0,0,0,1,1,0,1,IT,1
0,1,4.585548010858895,1.7750965143273327,1,High,1,0,0,1,1,0,1,Healthcare,1
1,0,10.264574749677877,3.839525842068278,1,Low,0,1,0,0,0,0,0,IT,1
0,0,3.9941031722696145,2.1036490272334185,0,Low,0,1,0,0,0,0,1,IT,1
0,1,7.166416697723316,5.833937914413887,0,High,0,0,0,1,1,0,1,Education,1
1,1,10.414851498313297,2.2326780468806278,0,Medium,1,0,0,1,0,0,1,Education,1
1,1,7.286915142714428,6.335540728315468,0,Medium,0,0,0,1,0,0,1,IT,1
1,0,6.612607015071192,5.55268324865736,0,Medium,0,1,1,0,1,0,0,Healthcare,1
0,1,9.75852781033312,5.852583603261376,1,Medium,0,0,1,1,1,1,0,Education,1
1,1,6.297770426331227,6.830658974429868,0,Medium,0,1,1,0,1,0,1,IT,1
0,1,5.555548560816092,4.121841886143648,1,Medium,1,0,0,1,0,0,1,Healthcare,1
1,1,8.549027974986567,2.4805381062700635,0,Medium,1,0,0,0,0,0,1,Retail,1
1,1,7.634153403174818,3.8454881863470374,1,Medium,0,1,1,1,1,1,0,Education,1
1,1,5.5126537716223165,3.150001591886556,1,High,0,0,0,0,0,0,1,Education,1
1,0,9.27390507998974,2.9362130912294164,1,High,1,1,0,0,1,0,0,Retail,1
1,1,8.928975211154468,4.226280155210248,0,Medium,0,1,0,0,1,0,1,Education,1
1,1,7.280489966788736,3.5324436786883804,0,Medium,0,0,1,1,0,0,1,IT,1
0,1,7.417335987750107,2.871685473524505,0,Low,0,0,0,0,1,0,1,Education,1
1,1,8.940785484018313,3.6318964111191128,0,Low,0,0,1,0,0,0,1,Education,1
0,0,10.380722839504132,4.823467696305557,1,Low,1,1,0,1,0,1,0,Healthcare,1
0,1,7.43441357978135,5.434625809889044,1,Low,0,1,0,1,1,0,1,IT,1
1,1,9.30937698601629,1.5956141302135158,1,High,1,1,1,1,1,0,1,IT,1
1,1,9.130400434169198,3.545198370507187,1,High,0,0,0,0,1,0,0,IT,1
1,0,9.758614585417952,3.7879851917879432,1,Low,0,0,0,0,0,0,0,Education,1
1,1,8.078618397486931,2.226219966658552,1,Low,0,1,0,0,0,0,0,Education,1
1,1,6.175348971867284,3.8204414004389515,0,High,1,1,0,1,0,1,1,Retail,1
1,1,7.075001693600061,4.221993414310042,0,Medium,0,0,0,0,1,1,1,Healthcare,1
1,1,8.685706931563296,4.778251817921486,1,Medium,0,1,0,1,1,0,1,Retail,1
1,1,11.636928756763186,4.115737038447506,1,High,0,1,1,1,0,0,1,Retail,1
0,1,7.031960753607443,2.6785758850036667,0,Medium,0,1,0,1,0,0,1,IT,1
1,1,9.609574887054798,7.01804504135777,1,Medium,0,0,1,1,1,0,0,Education,1
0,1,7.34388709864648,5.243690157432397,0,Medium,1,0,1,1,1,0,0,IT,1
0,1,8.220937511772272,4.8290796169748,0,Medium,0,0,1,0,1,0,1,Education,1
1,1,11.030793498527185,5.507246885516404,0,Medium,1,1,1,1,1,0,1,Education,1
0,1,9.528585162840866,4.366913757715715,1,Medium,0,0,0,1,1,1,0,Healthcare,1
1,1,5.517401454518087,5.929451328282932,0,Medium,0,0,0,0,1,0,1,IT,1
1,1,6.8550499523768185,4.085307925428647,1,Low,0,1,0,1,1,0,1,IT,1
1,1,10.512442688882718,4.002621190411276,0,Medium,1,1,0,1,1,0,1,Education,1
1,1,8.283756085256991,4.9528427181868055,1,Medium,1,0,0,0,1,0,1,Education,1
0,1,5.7023197607682725,6.364536319436385,0,Medium,0,0,1,1,0,0,1,Retail,1
1,1,6.362095110052558,6.2680729229339605,0,Low,1,1,0,0,1,0,0,Retail,1
1,0,9.406987045422344,4.889271397389994,0,High,0,1,1,0,1,0,1,Retail,1
1,1,9.98882056243526,4.774917787865199,0,Medium,0,1,0,0,1,0,0,Education,1
1,1,8.035710602964349,5.0440636166447295,0,High,0,0,0,0,0,0,0,Healthcare,1
1,0,12.950627601872204,5.478431370004896,1,High,0,0,1,1,1,0,1,IT,1
0,1,9.648304726911277,5.948097909119863,0,Medium,0,1,0,1,0,1,0,Healthcare,1
1,1,7.513037860734199,3.6451238739942253,1,Medium,0,1,1,1,0,0,0,IT,1
1,0,6.368587903801312,5.977091934756087,1,High,0,0,0,1,0,0,1,Retail,1
1,1,6.050231390721917,4.514492671106959,1,Medium,0,1,1,0,1,0,1,Healthcare,1
0,1,8.670842640960739,4.976397433749925,1,High,0,1,0,0,0,1,1,Healthcare,1
1,0,7.022445910173186,6.072923982300992,1,Medium,1,0,1,0,0,1,0,Retail,1
1,1,11.34748750796685,5.120593375136018,1,Medium,0,1,0,0,1,0,1,Retail,1
1,1,10.932623605835719,5.373993344729261,0,High,0,0,1,1,1,0,1,Healthcare,1
1,1,9.266133094994455,3.415872200076368,1,Low,1,0,1,1,1,0,1,Education,1
0,0,5.642007654086209,6.247467315624521,0,Medium,1,0,1,1,0,1,1,IT,1
0,1,6.65556225489519,5.043530066614188,0,Low,1,0,0,0,1,0,1,IT,1
1,1,10.511355051482202,4.189098576760746,0,Medium,0,0,1,1,1,1,1,Healthcare,1
0,1,6.873867600409796,5.651611580339654,1,Medium,0,1,1,0,1,1,1,Healthcare,1
1,1,10.244283467839049,7.881745746640748,1,Medium,0,1,0,1,0,0,0,IT,1
1,1,8.949207846069521,2.246613247267098,1,High,0,0,0,0,1,0,1,Retail,1
1,0,8.103435769626374,2.7944010656150766,0,Low,0,0,0,1,1,1,0,Healthcare,1
1,1,6.594334374129118,8.027957963253826,0,High,0,0,0,1,1,0,1,Retail,1
1,1,7.811512312950497,4.640042263456562,0,Low,0,0,1,1,0,0,0,IT,1
1,1,8.379295909749796,4.286304517947352,1,Low,1,1,1,0,1,0,1,Education,1
0,1,10.065077796602242,3.8269213875067525,0,High,0,0,0,0,1,1,0,IT,1
1,1,6.228528798732491,5.81265400145716,1,Low,1,0,0,0,0,0,1,Retail,1
1,1,7.47436631494777,7.91687096321543,1,Low,1,1,0,0,0,0,0,Retail,1
1,1,8.08964626386457,3.002217188899982,1,Medium,1,1,0,1,0,0,1,IT,1
1,0,9.32535671537233,3.854684909215999,1,Medium,0,0,0,0,0,0,1,Healthcare,1
1,1,6.1830713249544464,3.473909307148201,0,Medium,0,0,0,0,1,1,1,Retail,1
1,1,5.36686041422557,5.099297465228917,1,Low,0,1,1,1,0,0,1,Education,1
1,1,9.3479303034201,5.8335901564758625,1,Medium,0,1,0,1,1,0,0,Healthcare,1
1,1,4.964101770106593,6.431399177999675,1,Medium,1,1,1,0,1,0,1,Retail,1
0,1,10.569959429524337,5.150077423930421,1,Medium,0,0,1,0,0,0,0,Retail,1
1,1,7.688147805034184,7.778999186865426,1,High,1,1,0,0,1,0,1,Retail,1
1,1,4.904937835451108,3.1378705251888803,0,Medium,1,1,1,0,1,1,1,IT,1
1,1,7.039159561193012,2.748189171350944,0,Medium,0,1,0,1,0,0,1,Retail,1
1,1,8.758247266138474,6.204016439974314,1,Medium,0,0,1,1,1,0,1,Education,1
0,1,6.934597824890044,4.184248479394505,1,Low,0,1,1,1,1,0,1,Education,1
1,0,8.040059497648695,1.9360895148770787,0,High,0,0,0,0,0,0,0,Education,1
1,0,9.480156731410574,3.525905542543826,1,Medium,0,0,0,1,1,0,1,Education,1
1,1,7.5956193292247605,4.383487981145911,0,Low,1,0,1,0,0,0,1,IT,1
1,0,6.125884647067733,3.0306276431389674,0,Medium,0,0,1,0,1,0,1,Education,1
0,1,7.402032005256318,2.478008969358117,0,Medium,0,0,0,0,0,0,1,Healthcare,1
1,0,10.82968027291852,3.6885562952111863,0,High,0,1,0,1,0,0,0,Retail,1
0,1,11.370128690666368,2.403199869457433,1,High,0,1,1,1,0,0,1,Education,1
0,0,3.9601476521154497,4.952696558470348,1,Medium,1,0,1,1,0,0,1,IT,1
1,1,10.182055818382954,1.0842927296607305,1,Low,1,1,1,0,0,0,1,Healthcare,1
1,1,8.500295432070713,4.1356373919481335,1,Medium,0,0,1,1,1,0,1,Healthcare,1
0,1,9.8479653582403,4.779264832162454,0,High,1,1,0,1,1,0,1,Healthcare,1
1,1,6.899023479464741,3.8641881403774354,1,Medium,0,0,1,1,1,0,1,Education,1
1,1,4.463472980997028,5.639834345606309,1,Low,0,0,0,0,1,1,1,Healthcare,1
0,1,9.168977577294923,1.9441581486937967,1,Low,0,1,1,1,0,0,1,Education,1
1,0,6.118045477434566,2.9483657479358283,0,Medium,0,0,0,1,1,1,0,Retail,1
0,1,5.223415137030296,3.504948030623666,1,Low,0,0,1,1,1,0,1,Retail,1
